Mã hàng hóa / HS code	HS code 8 số	Ngày bắt đầu hiệu lực	Ngày kết thúc hiệu lực	Tên hàng hóa tiếng Trung	Thuế suất GTGT/VAT	Thuế suất hoàn thuế xuất khẩu	Unnamed: 7	Unnamed: 8
8506101110	85061011	2027-01-01	2100-12-31	扣式无汞碱性锌锰的原	13	0.0	4638-10-27	7341-05-15
8506101210	85061012	2027-01-01	2100-12-31	圆柱形无汞碱性锌锰的	13	0.0	4638-10-27	7341-05-15
8506101910	85061019	2027-01-01	2100-12-31	其他无汞碱性锌锰的原	13	0.0	4638-10-27	7341-05-15
8506101990	85061019	2027-01-01	2100-12-31	其他含汞碱性锌锰的原	13	0.0	4638-10-27	7341-05-15
8506109010	85061090	2027-01-01	2100-12-31	其他无汞二氧化锰的原	13	0.0	4638-10-27	7341-05-15
8506109090	85061090	2027-01-01	2100-12-31	其他含汞二氧化锰的原	13	0.0	4638-10-27	7341-05-15
8506400010	85064000	2027-01-01	2100-12-31	氧化银的原电池及原电	13	0.0	4638-10-27	7341-05-15
8506400090	85064000	2027-01-01	2100-12-31	氧化银的原电池及原电	13	0.0	4638-10-27	7341-05-15
85065000	85065000	2027-01-01	2100-12-31	锂的原电池及原电池组	13	0.0	4638-10-27	7341-05-15
8506600010	85066000	2027-01-01	2100-12-31	锌空气的原电池及原电	13	0.0	4638-10-27	7341-05-15
8506600090	85066000	2027-01-01	2100-12-31	锌空气的原电池及原电	13	0.0	4638-10-27	7341-05-15
8506800011	85068000	2027-01-01	2100-12-31	无汞燃料电池	13	0.0	4638-10-27	7341-05-15
8506800019	85068000	2027-01-01	2100-12-31	其他无汞原电池及原电	13	0.0	4638-10-27	7341-05-15
8506800091	85068000	2027-01-01	2100-12-31	含汞燃料电池	13	0.0	4638-10-27	7341-05-15
8506800099	85068000	2027-01-01	2100-12-31	其他含汞原电池及原电	13	0.0	4638-10-27	7341-05-15
85069010	85069010	2027-01-01	2100-12-31	二氧化锰原电池或原电	13	0.0	4638-10-27	7341-05-15
85069090	85069090	2027-01-01	2100-12-31	其他原电池组或原电池	13	0.0	4638-10-27	7341-05-15
85075000	85075000	2027-01-01	2100-12-31	镍氢蓄电池	13	0.0	4638-10-27	7341-05-15
85076000	85076000	2027-01-01	2100-12-31	锂离子蓄电池	13	0.0	4638-10-27	7341-05-15
85078030	85078030	2027-01-01	2100-12-31	全钒液流电池	13	0.0	4638-10-27	7341-05-15
85078090	85078090	2027-01-01	2100-12-31	其他蓄电池	13	0.0	4638-10-27	7341-05-15
85079090	85079090	2027-01-01	2100-12-31	其他蓄电池零件	13	0.0	4638-10-27	7341-05-15
2404120000	24041200	2026-04-01	2100-12-31	不含烟草或再造烟草、	13	0.0	4611-03-13	7341-05-15
24041200001	24041200	2026-04-01	2100-12-31	不含烟草或再造烟草、	13	0.0	4611-03-13	7341-05-15
24041200002	24041200	2026-04-01	2100-12-31	不含烟草或再造烟草、	13	0.0	4611-03-13	7341-05-15
25041091	25041091	2026-04-01	2100-12-31	球化石墨	13	0.0	4611-03-13	7341-05-15
28269020	28269020	2026-04-01	2100-12-31	六氟磷酸锂	13	0.0	4611-03-13	7341-05-15
28352520	28352520	2026-04-01	2100-12-31	食品级的正磷酸氢钙(	13	0.0	4611-03-13	7341-05-15
28353110	28353110	2026-04-01	2100-12-31	食品级的三磷酸钠(三	13	0.0	4611-03-13	7341-05-15
28353190	28353190	2026-04-01	2100-12-31	其他三磷酸钠(三聚磷	13	0.0	4611-03-13	7341-05-15
28353911	28353911	2026-04-01	2100-12-31	食品级的六偏磷酸钠	13	0.0	4611-03-13	7341-05-15
28416910	28416910	2026-04-01	2100-12-31	锰酸锂	13	0.0	4611-03-13	7341-05-15
2841900010	28419000	2026-04-01	2100-12-31	钴酸锂	13	0.0	4611-03-13	7341-05-15
28429030	28429030	2026-04-01	2100-12-31	锂镍钴锰氧化物	13	0.0	4611-03-13	7341-05-15
28429060	28429060	2026-04-01	2100-12-31	锂镍钴铝氧化物	13	0.0	4611-03-13	7341-05-15
