=== SHEET: Rủi ro cao ===
Row 200: Dept=Bộ Giao thông Vận tải | HS=None | QCVN=QCVN 09:2024/BGTVT QCVN 10:2024/BGTVT QCVN 82:2024/BGTVT QCVN 109:2024/BGTVT | Name=Ô tô...
Row 201: Dept=Bộ Giao thông Vận tải | HS=8701.21 | QCVN=QCVN 09:2024/BGTVT QCVN 10:2024/BGTVT QCVN 82:2024/BGTVT QCVN 109:2024/BGTVT | Name=Ô tô đầu kéo (dùng để kéo sơ mi rơ moóc)...
Row 202: Dept=Bộ Giao thông Vận tải | HS=8701.22 | QCVN=QCVN 09:2024/BGTVT QCVN 10:2024/BGTVT QCVN 82:2024/BGTVT QCVN 109:2024/BGTVT | Name=Ô tô đầu kéo (dùng để kéo sơ mi rơ moóc)...
Row 203: Dept=Bộ Giao thông Vận tải | HS=8701.23 | QCVN=QCVN 09:2024/BGTVT QCVN 10:2024/BGTVT QCVN 82:2024/BGTVT QCVN 109:2024/BGTVT | Name=Ô tô đầu kéo (dùng để kéo sơ mi rơ moóc)...
Row 204: Dept=Bộ Giao thông Vận tải | HS=8701.24 | QCVN=QCVN 09:2024/BGTVT QCVN 10:2024/BGTVT QCVN 82:2024/BGTVT QCVN 109:2024/BGTVT | Name=Ô tô đầu kéo (dùng để kéo sơ mi rơ moóc)...
Row 205: Dept=Bộ Giao thông Vận tải | HS=8701.29 | QCVN=QCVN 09:2024/BGTVT QCVN 10:2024/BGTVT QCVN 82:2024/BGTVT QCVN 109:2024/BGTVT | Name=Ô tô đầu kéo (dùng để kéo sơ mi rơ moóc)...
Row 206: Dept=Bộ Giao thông Vận tải | HS=8701.95.90 | QCVN=QCVN 09:2024/BGTVT QCVN 10:2024/BGTVT QCVN 82:2024/BGTVT QCVN 109:2024/BGTVT | Name=Ô tô kéo rơ moóc...
Row 207: Dept=Bộ Giao thông Vận tải | HS=87.02 | QCVN=QCVN 09:2024/BGTVT QCVN 10:2024/BGTVT QCVN 82:2024/BGTVT QCVN 109:2024/BGTVT | Name=Ô tô chở người trên 08 chỗ không kể chỗ của người ...
Row 208: Dept=Bộ Giao thông Vận tải | HS=87.03 | QCVN=QCVN 09:2024/BGTVT QCVN 10:2024/BGTVT QCVN 82:2024/BGTVT QCVN 109:2024/BGTVT | Name=Ô tô chở người đến 08 chỗ không kể chỗ của người l...
Row 209: Dept=Bộ Giao thông Vận tải | HS=87.04 | QCVN=QCVN 09:2024/BGTVT QCVN 10:2024/BGTVT QCVN 82:2024/BGTVT QCVN 109:2024/BGTVT | Name=Ô tô tải thông dụng...
Row 210: Dept=Bộ Giao thông Vận tải | HS=87.04 | QCVN=QCVN 09:2024/BGTVT QCVN 10:2024/BGTVT QCVN 82:2024/BGTVT QCVN 109:2024/BGTVT | Name=Ô tô tải chuyên dùng...
Row 211: Dept=Bộ Giao thông Vận tải | HS=87.05 | QCVN=QCVN 09:2024/BGTVT QCVN 10:2024/BGTVT QCVN 82:2024/BGTVT QCVN 109:2024/BGTVT | Name=Ô tô tải chuyên dùng...
Row 212: Dept=Bộ Giao thông Vận tải | HS=87.05 | QCVN=QCVN 09:2024/BGTVT QCVN 10:2024/BGTVT QCVN 82:2024/BGTVT QCVN 109:2024/BGTVT | Name=Ô tô chuyên dùng...
Row 213: Dept=Bộ Giao thông Vận tải | HS=87.06 | QCVN=None | Name=Ô tô sát xi không có buồng lái (khung gầm có gắn đ...
Row 214: Dept=Bộ Giao thông Vận tải | HS=8713.90.00 | QCVN=None | Name=Ô tô dành cho người khuyết tật điều khiển...
Row 215: Dept=Bộ Giao thông Vận tải | HS=None | QCVN=QCVN 14:2024/BGTVT QCVN 77:2024/BGTVT QCVN 04:2024/BGTVT | Name=Xe mô tô, xe gắn máy...
Row 216: Dept=Bộ Giao thông Vận tải | HS=87.11 | QCVN=QCVN 14:2024/BGTVT QCVN 77:2024/BGTVT QCVN 04:2024/BGTVT | Name=Xe mô tô (kể cả loại có thùng xe bên cạnh); Xe gắn...
Row 217: Dept=Bộ Giao thông Vận tải | HS=8713.90.00 | QCVN=QCVN 14:2024/BGTVT QCVN 77:2024/BGTVT QCVN 04:2024/BGTVT | Name=Xe mô tô dành cho người khuyết tật điều khiển...
Row 218: Dept=Bộ Giao thông Vận tải | HS=8713.90.00 | QCVN=QCVN 14:2024/BGTVT QCVN 77:2024/BGTVT QCVN 04:2024/BGTVT | Name=Xe gắn máy dành cho người khuyết tật điều khiển...
Row 219: Dept=Bộ Giao thông Vận tải | HS=None | QCVN=QCVN 119:2024/BGTVT QCVN 118:2024/BGTVT | Name=Xe bốn bánh có gắn động cơ...
Row 220: Dept=Bộ Giao thông Vận tải | HS=None | QCVN=QCVN 119:2024/BGTVT QCVN 118:2024/BGTVT | Name=Xe chở người bốn bánh có gắn động cơ:...
Row 221: Dept=Bộ Giao thông Vận tải | HS=8703.10 | QCVN=QCVN 119:2024/BGTVT QCVN 118:2024/BGTVT | Name=- Loại chở dưới 10 người kể cả người lái bao gồm c...
Row 222: Dept=Bộ Giao thông Vận tải | HS=87.02 | QCVN=QCVN 119:2024/BGTVT QCVN 118:2024/BGTVT | Name=- Loại chở từ 10 người trở lên kể cả người lái...
Row 223: Dept=Bộ Giao thông Vận tải | HS=87.04 | QCVN=QCVN 119:2024/BGTVT QCVN 118:2024/BGTVT | Name=Xe chở hàng bốn bánh có gắn động cơ...
Row 224: Dept=Bộ Giao thông Vận tải | HS=None | QCVN=QCVN 13:2024/BGTVT | Name=Xe máy chuyên dùng...
Row 225: Dept=Bộ Giao thông Vận tải | HS=8426.41.00 | QCVN=QCVN 13:2024/BGTVT | Name=Xe cần cẩu bánh lốp (cần trục bánh lốp) - Loại có ...
Row 226: Dept=Bộ Giao thông Vận tải | HS=8426.49.00 | QCVN=None | Name=Xe cần cẩu bánh xích (cần trục bánh xích) - Loại c...
Row 227: Dept=Bộ Giao thông Vận tải | HS=8427.10.00 | QCVN=None | Name=Xe nâng...
Row 228: Dept=Bộ Giao thông Vận tải | HS=8427.20.00 | QCVN=None | Name=Xe nâng...
Row 229: Dept=Bộ Giao thông Vận tải | HS=84.28 | QCVN=None | Name=Xe nâng người làm việc trên cao dạng cắt kéo (Trừ ...
Row 230: Dept=Bộ Giao thông Vận tải | HS=84.29 | QCVN=None | Name=Xe ủi (máy ủi)...
Row 231: Dept=Bộ Giao thông Vận tải | HS=84.29 | QCVN=None | Name=Xe phá dỡ, Xe kẹp gỗ, Xe xếp, dỡ vật liệu (máy phá...
Row 232: Dept=Bộ Giao thông Vận tải | HS=8429.20.00 | QCVN=None | Name=Xe san (máy san)...
Row 233: Dept=Bộ Giao thông Vận tải | HS=84.29.30.00 | QCVN=None | Name=Xe cạp (máy cạp)...
Row 234: Dept=Bộ Giao thông Vận tải | HS=8429.40 | QCVN=None | Name=Xe lu...
Row 235: Dept=Bộ Giao thông Vận tải | HS=8430.41.00 | QCVN=None | Name=Xe khoan (máy khoan)...
Row 236: Dept=Bộ Giao thông Vận tải | HS=8430.41.00 | QCVN=None | Name=Xe đào (máy đào)...
Row 237: Dept=Bộ Giao thông Vận tải | HS=8429.52.00 | QCVN=None | Name=Xe đào (máy đào)...
Row 238: Dept=Bộ Giao thông Vận tải | HS=8429.51.00 | QCVN=None | Name=Xe xúc (máy xúc)...
Row 239: Dept=Bộ Giao thông Vận tải | HS=8429.59.00 | QCVN=None | Name=Xe xúc, đào (máy xúc, đào)...
Row 240: Dept=Bộ Giao thông Vận tải | HS=8430.10.00 | QCVN=None | Name=Xe đóng cọc và nhổ cọc (máy đóng cọc và nhổ cọc)...
Row 241: Dept=Bộ Giao thông Vận tải | HS=84.30 | QCVN=None | Name=Xe cào, vận chuyển vật liệu (máy cào, vận chuyển v...
Row 242: Dept=Bộ Giao thông Vận tải | HS=84.30 | QCVN=None | Name=Xe đóng cọc, Xe ép cọc (máy đóng cọc, máy ép cọc)...
Row 243: Dept=Bộ Giao thông Vận tải | HS=84.30 | QCVN=None | Name=Xe thi công mặt đường...
Row 244: Dept=Bộ Giao thông Vận tải | HS=84.79 | QCVN=None | Name=None...
Row 245: Dept=Bộ Giao thông Vận tải | HS=8705.90.90 | QCVN=None | Name=None...
Row 246: Dept=Bộ Giao thông Vận tải | HS=87.01 | QCVN=None | Name=Xe kéo trong kho bãi; nhà xưởng...
Row 247: Dept=Bộ Giao thông Vận tải | HS=87.01 | QCVN=None | Name=Xe kéo, đẩy máy bay...
Row 248: Dept=Bộ Giao thông Vận tải | HS=87.01 | QCVN=None | Name=Máy kéo...
Row 249: Dept=Bộ Giao thông Vận tải | HS=8701.30.00 | QCVN=None | Name=Xe kéo bánh xích...
Row 250: Dept=Bộ Giao thông Vận tải | HS=87.03 | QCVN=None | Name=Xe cứu thương lưu động...
Row 251: Dept=Bộ Giao thông Vận tải | HS=87.03 | QCVN=None | Name=Xe địa hình (ATV, UTV..)...
Row 252: Dept=Bộ Giao thông Vận tải | HS=87.04 | QCVN=None | Name=Xe chở hàng...
Row 253: Dept=Bộ Giao thông Vận tải | HS=87.04 | QCVN=None | Name=Xe tải tự đổ (xe tự đổ bánh lốp, xe tự đổ bánh xíc...
